country,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25
East Mediterranean Europe,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,7.0,4.0,4.0,3.0,5.0,0.0,0.0,5.0,0.0,1.0,1.0,5.0,1.0,0.0,8.0,10.0,27.0,10.0,5.0,13.0,7.0,3.0,2.0,1.0,20.0,48.0,21.0,19.0,34.0,9.0,0.0,3.0,15.0,1.0,20.0,10.0,16.0,24.0,14.0,38.0,39.0,24.0,14.0
"Europe, n.o.s. 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,129.0,45.0,35.0,0.0,5.0,135.0,45.0,0.0,23.0,0.0,0.0,31.0,21.0,0.0,27.0,0.0,66.0,17.0,7.0,237.0,14.0,0.0,10.0,9.0,14.0,8.0,9.0,14.0,39.0,65.0,42.0,69.0,35.0,32.0,40.0,28.0,9.0,0.0,18.0,23.0,55.0,113.0,94.0,181.0,155.0,123.0,54.0,72.0,14.0,28.0,39.0,76.0,90.0,103.0,201.0,223.0,186.0,118.0,73.0,82.0,50.0,46.0,35.0,65.0,187.0,245.0,205.0,325.0,205.0,171.0
Western Africa,95.0,32.0,29.0,0.0,5.0,135.0,45.0,0.0,23.0,0.0,0.0,31.0,21.0,0.0,23.0,0.0,47.0,8.0,3.0,0.0,14.0,0.0,10.0,2.0,14.0,7.0,7.0,13.0,34.0,55.0,18.0,47.0,28.0,32.0,24.0,12.0,6.0,0.0,14.0,17.0,45.0,64.0,57.0,141.0,121.0,88.0,42.0,57.0,6.0,25.0,28.0,57.0,75.0,56.0,117.0,180.0,102.0,100.0,60.0,63.0,22.0,35.0,26.0,52.0,146.0,203.0,174.0,278.0,190.0,142.0
Eastern Africa,23.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,18.0,7.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,6.0,3.0,0.0,7.0,0.0,4.0,6.0,1.0,0.0,4.0,0.0,4.0,22.0,34.0,27.0,11.0,33.0,0.0,6.0,3.0,2.0,5.0,15.0,6.0,12.0,43.0,8.0,23.0,15.0,2.0,3.0,16.0,5.0,3.0,10.0,20.0,32.0,26.0,19.0,7.0,20.0
Northern Africa,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0
Central Africa,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0
Southern Africa,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,229.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,4.0,21.0,22.0,0.0,0.0,12.0,8.0,2.0,0.0,0.0,3.0,6.0,27.0,2.0,13.0,21.0,2.0,12.0,9.0,5.0,1.0,6.0,3.0,8.0,35.0,23.0,31.0,55.0,3.0,10.0,13.0,6.0,6.0,5.0,3.0,17.0,9.0,5.0,21.0,7.0,7.0
"Africa, n.o.s. 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia,235.0,246.0,117.0,7.0,2.0,55.0,54.0,83.0,0.0,181.0,41.0,2.0,48.0,0.0,55.0,0.0,37.0,37.0,15.0,0.0,13.0,1.0,17.0,24.0,12.0,68.0,24.0,44.0,66.0,111.0,34.0,55.0,76.0,105.0,78.0,94.0,88.0,110.0,200.0,193.0,325.0,536.0,549.0,557.0,553.0,330.0,176.0,160.0,117.0,121.0,189.0,250.0,347.0,626.0,557.0,493.0,480.0,450.0,257.0,212.0,200.0,224.0,196.0,257.0,390.0,290.0,386.0,518.0,234.0,270.0
