country,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25
Western Europe,51972.0,71441.0,29621.0,1286.0,1371.0,2254.0,4472.0,5450.0,4523.0,3928.0,4042.0,6876.0,5513.0,2426.0,2477.0,2477.0,2900.0,4094.0,13670.0,21603.0,46806.0,51623.0,27095.0,52677.0,14708.0,27227.0,28548.0,55215.0,76259.0,101700.0,181809.0,167546.0,131402.0,96354.0,42880.0,68534.0,39514.0,60157.0,49182.0,72460.0,103798.0,132723.0,211901.0,191694.0,159564.0,114921.0,47818.0,80738.0,41709.0,66280.0,57048.0,84080.0,116903.0,128260.0,217771.0,205484.0,162517.0,115245.0,49035.0,85246.0,46318.0,66221.0,53689.0,85822.0,112100.0,129136.0,233290.0,214118.0,174054.0,122669.0
Central/Eastern Europe,10720.0,11189.0,5665.0,414.0,446.0,731.0,1203.0,1560.0,1438.0,1185.0,1340.0,1775.0,1347.0,929.0,729.0,811.0,1019.0,1434.0,2159.0,3204.0,5379.0,4418.0,3389.0,5350.0,2425.0,2259.0,5058.0,6530.0,8432.0,13456.0,14030.0,13088.0,11174.0,8934.0,6918.0,7700.0,6035.0,7000.0,8340.0,8116.0,11549.0,18318.0,19382.0,18119.0,15969.0,11752.0,8179.0,9249.0,7459.0,9983.0,13323.0,9519.0,12803.0,19032.0,20526.0,19375.0,16073.0,11117.0,6959.0,9745.0,8431.0,8787.0,8883.0,11321.0,14387.0,22652.0,26874.0,23114.0,19320.0,13661.0
Northern Europe,40162.0,48449.0,23196.0,606.0,559.0,1135.0,2645.0,3064.0,2493.0,2462.0,3047.0,5186.0,1949.0,1132.0,1205.0,1055.0,1629.0,2768.0,8440.0,11160.0,25795.0,28742.0,19750.0,38473.0,12156.0,17241.0,26916.0,46306.0,62995.0,102550.0,139472.0,118971.0,101468.0,69799.0,35217.0,55808.0,30328.0,39330.0,44167.0,62584.0,80687.0,117138.0,148543.0,142288.0,114655.0,78216.0,38399.0,68476.0,32352.0,41733.0,50639.0,64605.0,93855.0,121766.0,154247.0,144978.0,132211.0,79122.0,39363.0,70958.0,34367.0,45218.0,42808.0,79014.0,96918.0,129761.0,168532.0,158885.0,131168.0,81888.0
Southern Europe,11723.0,10147.0,4684.0,112.0,457.0,736.0,1148.0,1458.0,1335.0,934.0,1102.0,1222.0,1565.0,790.0,600.0,747.0,925.0,1098.0,2215.0,4157.0,7090.0,6876.0,5746.0,8723.0,3120.0,3555.0,5766.0,10201.0,11891.0,20106.0,26902.0,35740.0,18792.0,15222.0,10269.0,13594.0,8624.0,7763.0,10389.0,13349.0,17730.0,27346.0,32266.0,45115.0,26142.0,19533.0,12161.0,15940.0,9495.0,9189.0,12279.0,16041.0,21357.0,29698.0,38275.0,57636.0,27905.0,20027.0,12377.0,17259.0,11123.0,9643.0,12073.0,20741.0,22558.0,32808.0,42194.0,60920.0,29975.0,29052.0
East Mediterranean Europe,4179.0,3657.0,2033.0,64.0,62.0,234.0,527.0,703.0,803.0,446.0,445.0,663.0,444.0,389.0,569.0,483.0,673.0,738.0,1507.0,2342.0,4531.0,2656.0,2605.0,2715.0,990.0,1362.0,2474.0,4539.0,4445.0,6841.0,9019.0,9508.0,7789.0,5506.0,3512.0,3937.0,2910.0,2607.0,3877.0,4680.0,5382.0,8897.0,15120.0,11094.0,10145.0,5690.0,3709.0,4660.0,2432.0,2361.0,2912.0,4981.0,5064.0,6904.0,11644.0,7116.0,5909.0,4549.0,3128.0,3573.0,3797.0,3462.0,4408.0,6123.0,6494.0,8045.0,17129.0,11869.0,9984.0,6996.0
"Europe, n.o.s. 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,7954.0,6752.0,4803.0,389.0,261.0,603.0,1111.0,1514.0,1728.0,1436.0,1646.0,2682.0,2188.0,1426.0,1007.0,1262.0,1614.0,1962.0,3594.0,4502.0,5265.0,4721.0,4980.0,6716.0,2892.0,3706.0,5072.0,6642.0,9632.0,14522.0,17948.0,12409.0,11910.0,9935.0,6912.0,13627.0,5927.0,7205.0,8697.0,10402.0,16031.0,28000.0,31150.0,24953.0,27190.0,28197.0,16205.0,19902.0,9870.0,11369.0,13402.0,17488.0,23347.0,31762.0,36645.0,28700.0,22876.0,22962.0,11907.0,16913.0,12493.0,14185.0,15153.0,19486.0,25188.0,37669.0,41938.0,33803.0,29102.0,29647.0
Western Africa,2776.0,2156.0,1523.0,88.0,57.0,219.0,281.0,413.0,621.0,479.0,476.0,942.0,886.0,577.0,393.0,567.0,702.0,678.0,1071.0,1405.0,2099.0,1791.0,1424.0,2210.0,1089.0,1045.0,1367.0,2140.0,2672.0,3685.0,4043.0,4288.0,3222.0,2613.0,1841.0,3283.0,1704.0,2126.0,2555.0,3361.0,4645.0,7220.0,8403.0,9353.0,9304.0,13874.0,5998.0,7857.0,3249.0,4142.0,4986.0,6322.0,8004.0,8987.0,10068.0,12427.0,7060.0,10997.0,4425.0,6768.0,3859.0,4100.0,4820.0,6764.0,8319.0,12575.0,13609.0,13780.0,9762.0,12942.0
Eastern Africa,1424.0,1093.0,996.0,176.0,84.0,98.0,223.0,280.0,374.0,274.0,312.0,562.0,469.0,248.0,244.0,261.0,298.0,346.0,588.0,742.0,1015.0,723.0,642.0,1133.0,388.0,392.0,652.0,803.0,1528.0,2381.0,3178.0,1917.0,1743.0,1347.0,1024.0,1782.0,792.0,856.0,1010.0,1376.0,2826.0,5200.0,5268.0,4357.0,4230.0,3464.0,2562.0,3046.0,1553.0,1485.0,1669.0,2295.0,3278.0,4479.0,5390.0,3708.0,2820.0,2185.0,1433.0,2087.0,2347.0,2958.0,3268.0,3557.0,4555.0,6596.0,6148.0,5375.0,4866.0,4959.0
Northern Africa,2218.0,2067.0,1387.0,69.0,82.0,166.0,467.0,557.0,522.0,403.0,507.0,737.0,545.0,373.0,180.0,285.0,349.0,567.0,1391.0,1408.0,1041.0,1349.0,2127.0,2219.0,796.0,1676.0,2175.0,2321.0,3540.0,5116.0,7236.0,3620.0,4511.0,4252.0,2769.0,4583.0,2478.0,3207.0,3741.0,4226.0,6209.0,10724.0,13084.0,7594.0,10021.0,8382.0,5831.0,6076.0,3756.0,4330.0,4973.0,6740.0,9092.0,13705.0,16705.0,8936.0,9955.0,7609.0,4644.0,5828.0,4251.0,5094.0,4688.0,6554.0,8688.0,12822.0,15892.0,10033.0,9971.0,8231.0
