Month,Country group,Number of arrivals
2024-10-01 00:00:00,Canada,11557
2024-10-01 00:00:00,United States of America,5297
2024-10-01 00:00:00,Overseas,573
2024-11-01 00:00:00,Canada,20388
2024-11-01 00:00:00,United States of America,4118
2024-11-01 00:00:00,Overseas,702
2024-12-01 00:00:00,Canada,27022
2024-12-01 00:00:00,United States of America,4926
2024-12-01 00:00:00,Overseas,1176
2025-01-01 00:00:00,Canada,34567
2025-01-01 00:00:00,United States of America,2727
2025-01-01 00:00:00,Overseas,1026
2025-02-01 00:00:00,Canada,37148
2025-02-01 00:00:00,United States of America,3146
2025-02-01 00:00:00,Overseas,962
2025-03-01 00:00:00,Canada,37076
2025-03-01 00:00:00,United States of America,3711
2025-03-01 00:00:00,Overseas,1044
2025-04-01 00:00:00,Canada,25948
2025-04-01 00:00:00,United States of America,3013
2025-04-01 00:00:00,Overseas,945
2025-05-01 00:00:00,Canada,11619
2025-05-01 00:00:00,United States of America,5432
2025-05-01 00:00:00,Overseas,790
2025-06-01 00:00:00,Canada,6480
2025-06-01 00:00:00,United States of America,7936
2025-06-01 00:00:00,Overseas,952
2025-07-01 00:00:00,Canada,5231
2025-07-01 00:00:00,United States of America,8371
2025-07-01 00:00:00,Overseas,954
2025-08-01 00:00:00,Canada,6795
2025-08-01 00:00:00,United States of America,6453
2025-08-01 00:00:00,Overseas,1153
2025-09-01 00:00:00,Canada,6765
2025-09-01 00:00:00,United States of America,4801
2025-09-01 00:00:00,Overseas,579
2025-10-01 00:00:00,Canada,8584
2025-10-01 00:00:00,United States of America,5754
2025-10-01 00:00:00,Overseas,613
2025-11-01 00:00:00,Canada,15434
2025-11-01 00:00:00,United States of America,4075
2025-11-01 00:00:00,Overseas,653
