Country of residence 2,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25
Western Europe,"51,972","71,441","29,621","1,286","1,371","2,254","4,472","5,450","4,523","3,928","4,042","6,876","5,513","2,426","2,477","2,477","2,900","4,094","13,670","21,603","46,806","51,623","27,095","52,677","14,708","27,227","28,548","55,215","76,259","101,700","181,809","167,546","131,402","96,354","42,880","68,534","39,514","60,157","49,182","72,460","103,798","132,723","211,901","191,694","159,564","114,921","47,818","80,738","41,709","66,280","57,048","84,080","116,903","128,260","217,771","205,484","162,517","115,245","49,035","85,246","46,318","66,221","53,689","85,822","112,100","129,136","233,290","214,118","174,054","122,669"
Central/Eastern Europe,"10,720","11,189","5,665",414,446,731,"1,203","1,560","1,438","1,185","1,340","1,775","1,347",929,729,811,"1,019","1,434","2,159","3,204","5,379","4,418","3,389","5,350","2,425","2,259","5,058","6,530","8,432","13,456","14,030","13,088","11,174","8,934","6,918","7,700","6,035","7,000","8,340","8,116","11,549","18,318","19,382","18,119","15,969","11,752","8,179","9,249","7,459","9,983","13,323","9,519","12,803","19,032","20,526","19,375","16,073","11,117","6,959","9,745","8,431","8,787","8,883","11,321","14,387","22,652","26,874","23,114","19,320","13,661"
Northern Europe,"40,162","48,449","23,196",606,559,"1,135","2,645","3,064","2,493","2,462","3,047","5,186","1,949","1,132","1,205","1,055","1,629","2,768","8,440","11,160","25,795","28,742","19,750","38,473","12,156","17,241","26,916","46,306","62,995","102,550","139,472","118,971","101,468","69,799","35,217","55,808","30,328","39,330","44,167","62,584","80,687","117,138","148,543","142,288","114,655","78,216","38,399","68,476","32,352","41,733","50,639","64,605","93,855","121,766","154,247","144,978","132,211","79,122","39,363","70,958","34,367","45,218","42,808","79,014","96,918","129,761","168,532","158,885","131,168","81,888"
Southern Europe,"11,723","10,147","4,684",112,457,736,"1,148","1,458","1,335",934,"1,102","1,222","1,565",790,600,747,925,"1,098","2,215","4,157","7,090","6,876","5,746","8,723","3,120","3,555","5,766","10,201","11,891","20,106","26,902","35,740","18,792","15,222","10,269","13,594","8,624","7,763","10,389","13,349","17,730","27,346","32,266","45,115","26,142","19,533","12,161","15,940","9,495","9,189","12,279","16,041","21,357","29,698","38,275","57,636","27,905","20,027","12,377","17,259","11,123","9,643","12,073","20,741","22,558","32,808","42,194","60,920","29,975","29,052"
East Mediterranean Europe,"4,179","3,657","2,033",64,62,234,527,703,803,446,445,663,444,389,569,483,673,738,"1,507","2,342","4,531","2,656","2,605","2,715",990,"1,362","2,474","4,539","4,445","6,841","9,019","9,508","7,789","5,506","3,512","3,937","2,910","2,607","3,877","4,680","5,382","8,897","15,120","11,094","10,145","5,690","3,709","4,660","2,432","2,361","2,912","4,981","5,064","6,904","11,644","7,116","5,909","4,549","3,128","3,573","3,797","3,462","4,408","6,123","6,494","8,045","17,129","11,869","9,984","6,996"
"Europe, n.o.s. 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,"7,954","6,752","4,803",389,261,603,"1,111","1,514","1,728","1,436","1,646","2,682","2,188","1,426","1,007","1,262","1,614","1,962","3,594","4,502","5,265","4,721","4,980","6,716","2,892","3,706","5,072","6,642","9,632","14,522","17,948","12,409","11,910","9,935","6,912","13,627","5,927","7,205","8,697","10,402","16,031","28,000","31,150","24,953","27,190","28,197","16,205","19,902","9,870","11,369","13,402","17,488","23,347","31,762","36,645","28,700","22,876","22,962","11,907","16,913","12,493","14,185","15,153","19,486","25,188","37,669","41,938","33,803","29,102","29,647"
Western Africa,"2,776","2,156","1,523",88,57,219,281,413,621,479,476,942,886,577,393,567,702,678,"1,071","1,405","2,099","1,791","1,424","2,210","1,089","1,045","1,367","2,140","2,672","3,685","4,043","4,288","3,222","2,613","1,841","3,283","1,704","2,126","2,555","3,361","4,645","7,220","8,403","9,353","9,304","13,874","5,998","7,857","3,249","4,142","4,986","6,322","8,004","8,987","10,068","12,427","7,060","10,997","4,425","6,768","3,859","4,100","4,820","6,764","8,319","12,575","13,609","13,780","9,762","12,942"
Eastern Africa,"1,424","1,093",996,176,84,98,223,280,374,274,312,562,469,248,244,261,298,346,588,742,"1,015",723,642,"1,133",388,392,652,803,"1,528","2,381","3,178","1,917","1,743","1,347","1,024","1,782",792,856,"1,010","1,376","2,826","5,200","5,268","4,357","4,230","3,464","2,562","3,046","1,553","1,485","1,669","2,295","3,278","4,479","5,390","3,708","2,820","2,185","1,433","2,087","2,347","2,958","3,268","3,557","4,555","6,596","6,148","5,375","4,866","4,959"
Northern Africa,"2,218","2,067","1,387",69,82,166,467,557,522,403,507,737,545,373,180,285,349,567,"1,391","1,408","1,041","1,349","2,127","2,219",796,"1,676","2,175","2,321","3,540","5,116","7,236","3,620","4,511","4,252","2,769","4,583","2,478","3,207","3,741","4,226","6,209","10,724","13,084","7,594","10,021","8,382","5,831","6,076","3,756","4,330","4,973","6,740","9,092","13,705","16,705","8,936","9,955","7,609","4,644","5,828","4,251","5,094","4,688","6,554","8,688","12,822","15,892","10,033","9,971","8,231"
